AGEP,SCHL,MAR,SEX,DIS,ESP,MIG,CIT,MIL,ANC,NATIVITY,RELP,DEAR,DEYE,DREM,RAC1P,GCL,ESR
72,16.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
13,9.0,5,2,1,-99999.0,1.0,1,-99999.0,1,1,16,2,2,1.0,3,-99999.0,-99999.0
49,20.0,5,1,1,-99999.0,3.0,1,2.0,1,1,16,2,2,2.0,3,2.0,6.0
71,16.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,2,2,2.0,1,2.0,6.0
52,20.0,4,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
26,16.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,1,-99999.0,6.0
64,16.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,1,2.0,6.0
55,19.0,1,1,2,-99999.0,1.0,1,2.0,1,1,17,2,2,2.0,1,2.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,8,-99999.0,1.0
80,16.0,5,2,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
87,16.0,2,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,1.0,1,2.0,6.0
19,19.0,5,2,1,-99999.0,3.0,1,4.0,4,1,17,2,1,1.0,2,-99999.0,3.0
42,17.0,5,1,2,-99999.0,3.0,1,4.0,4,1,16,2,2,2.0,1,2.0,6.0
61,16.0,5,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
31,19.0,5,1,1,-99999.0,3.0,1,4.0,2,1,16,2,2,1.0,1,2.0,6.0
94,16.0,5,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
20,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,9,-99999.0,1.0
68,22.0,3,1,1,-99999.0,1.0,1,4.0,2,1,16,2,1,2.0,1,2.0,6.0
34,20.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,2.0,1.0
68,21.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,3,2.0,6.0
24,21.0,1,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
43,17.0,3,1,2,-99999.0,1.0,1,4.0,4,1,16,2,2,2.0,1,2.0,6.0
18,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
72,16.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
51,1.0,5,2,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
29,21.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
60,16.0,5,1,1,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,2.0,6.0
49,17.0,3,1,1,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
52,17.0,4,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
89,16.0,2,2,1,-99999.0,1.0,1,4.0,4,1,16,1,2,1.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
20,19.0,5,2,2,-99999.0,1.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,3.0
57,14.0,3,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
13,10.0,5,2,2,-99999.0,3.0,1,-99999.0,2,1,16,2,2,2.0,1,-99999.0,-99999.0
18,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
26,13.0,5,2,2,-99999.0,1.0,1,4.0,3,1,16,2,2,2.0,3,-99999.0,6.0
18,16.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,3,-99999.0,6.0
50,16.0,3,2,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
71,16.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,2,2,2.0,1,2.0,6.0
14,11.0,5,2,1,-99999.0,3.0,1,-99999.0,1,1,16,2,2,1.0,5,-99999.0,-99999.0
85,11.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,2,1.0,1,2.0,6.0
11,6.0,5,1,2,-99999.0,3.0,1,-99999.0,4,1,16,2,2,2.0,2,-99999.0,-99999.0
35,19.0,5,1,1,-99999.0,3.0,1,4.0,2,1,16,1,2,2.0,1,2.0,6.0
57,16.0,5,1,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,2.0,1.0
29,21.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
64,12.0,1,1,1,-99999.0,3.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
86,16.0,3,2,1,-99999.0,3.0,1,4.0,2,1,16,2,2,1.0,1,2.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
31,16.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
89,16.0,1,2,1,-99999.0,1.0,1,4.0,4,1,16,2,2,1.0,1,2.0,6.0
50,1.0,5,1,1,-99999.0,1.0,1,4.0,1,1,17,2,2,1.0,1,2.0,6.0
58,16.0,3,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
58,13.0,3,2,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,2.0,1.0
56,11.0,5,2,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
20,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
18,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
19,19.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,1.0
73,16.0,3,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
56,19.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
17,19.0,5,2,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,3,-99999.0,6.0
94,11.0,2,2,1,-99999.0,1.0,1,4.0,2,1,16,2,1,1.0,1,2.0,6.0
57,19.0,3,1,2,-99999.0,1.0,1,4.0,4,1,16,2,2,2.0,1,2.0,6.0
19,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
18,14.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
62,14.0,5,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
18,1.0,5,1,2,-99999.0,1.0,1,3.0,1,1,17,2,2,2.0,1,-99999.0,4.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
28,17.0,5,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,-99999.0,6.0
20,19.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,3,-99999.0,6.0
51,1.0,5,2,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
87,16.0,2,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,1.0,1,2.0,6.0
19,17.0,5,2,1,-99999.0,3.0,1,4.0,1,1,16,1,1,2.0,3,-99999.0,6.0
49,16.0,3,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
21,19.0,5,1,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
94,19.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,1,2,1.0,1,2.0,6.0
89,21.0,3,1,1,-99999.0,1.0,1,2.0,1,1,16,1,2,1.0,1,2.0,6.0
30,17.0,1,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
84,16.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
26,17.0,5,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,1,-99999.0,6.0
40,17.0,3,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,9,2.0,6.0
14,10.0,5,1,1,-99999.0,1.0,1,-99999.0,2,1,16,2,2,1.0,1,-99999.0,-99999.0
20,16.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,9,-99999.0,1.0
83,21.0,1,1,1,-99999.0,3.0,1,2.0,1,1,16,2,2,2.0,3,2.0,6.0
29,19.0,3,2,1,-99999.0,3.0,1,4.0,1,1,16,1,1,1.0,1,-99999.0,6.0
19,16.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
18,14.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
27,17.0,1,2,1,-99999.0,1.0,1,4.0,2,1,16,2,2,1.0,1,-99999.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
14,10.0,5,1,1,-99999.0,1.0,1,-99999.0,2,1,16,2,2,1.0,1,-99999.0,-99999.0
21,19.0,5,1,2,-99999.0,1.0,5,4.0,1,2,17,2,2,2.0,1,-99999.0,1.0
80,20.0,2,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
18,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,3.0
19,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
62,14.0,5,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
11,6.0,5,1,2,-99999.0,3.0,1,-99999.0,4,1,16,2,2,2.0,2,-99999.0,-99999.0
49,16.0,3,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
49,20.0,5,1,1,-99999.0,3.0,1,2.0,1,1,16,2,2,2.0,3,2.0,6.0
20,19.0,5,1,2,-99999.0,1.0,5,4.0,1,2,17,2,2,2.0,1,-99999.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
82,17.0,3,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
40,14.0,5,2,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,3,2.0,6.0
19,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
50,13.0,5,2,1,-99999.0,3.0,1,4.0,1,1,17,2,2,1.0,3,2.0,1.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
40,14.0,5,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,5,2.0,6.0
50,20.0,1,2,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,3,2.0,6.0
47,21.0,1,2,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,3,2.0,6.0
20,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
21,19.0,5,2,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
29,21.0,5,2,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
77,21.0,3,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
56,16.0,3,2,1,-99999.0,1.0,1,4.0,1,1,17,2,2,1.0,1,2.0,1.0
17,16.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,5,-99999.0,6.0
89,16.0,2,2,1,-99999.0,1.0,1,4.0,4,1,16,1,2,1.0,1,2.0,6.0
18,16.0,5,1,2,-99999.0,3.0,3,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
36,17.0,1,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,3,2.0,6.0
17,19.0,5,1,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
25,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
58,13.0,3,2,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,2.0,1.0
18,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
19,16.0,5,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,-99999.0,6.0
24,21.0,1,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
19,16.0,5,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,-99999.0,6.0
27,16.0,5,1,1,-99999.0,3.0,1,4.0,1,1,16,2,2,1.0,3,-99999.0,6.0
90,21.0,2,1,1,-99999.0,3.0,1,4.0,4,1,16,1,2,2.0,1,2.0,6.0
33,18.0,1,2,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,6.0
37,16.0,5,1,2,-99999.0,3.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
19,16.0,5,1,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
23,17.0,5,2,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,-99999.0,6.0
30,17.0,1,1,2,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
56,14.0,5,1,1,-99999.0,1.0,1,4.0,4,1,16,2,2,1.0,1,2.0,6.0
94,16.0,2,2,1,-99999.0,1.0,1,4.0,4,1,16,2,1,1.0,1,2.0,6.0
32,19.0,4,1,2,-99999.0,1.0,1,4.0,2,1,16,2,2,2.0,1,2.0,6.0
19,18.0,5,1,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
72,16.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
56,19.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,2,1.0,1,2.0,1.0
60,16.0,5,1,1,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,2.0,6.0
90,21.0,2,1,1,-99999.0,3.0,1,4.0,4,1,16,1,2,2.0,1,2.0,6.0
18,19.0,5,2,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,2.0
17,13.0,5,2,1,-99999.0,3.0,1,4.0,4,1,16,2,2,1.0,1,-99999.0,6.0
56,16.0,3,2,1,-99999.0,1.0,1,4.0,1,1,17,2,2,1.0,1,2.0,1.0
19,19.0,5,2,2,-99999.0,1.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
16,12.0,5,2,2,-99999.0,1.0,1,-99999.0,1,1,16,2,2,2.0,1,-99999.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
20,19.0,5,2,1,-99999.0,3.0,1,4.0,2,1,17,2,2,1.0,1,-99999.0,6.0
19,19.0,5,2,1,-99999.0,1.0,1,4.0,2,1,17,2,2,1.0,1,-99999.0,1.0
21,19.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
48,14.0,5,1,1,-99999.0,1.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
21,19.0,5,2,2,-99999.0,3.0,1,4.0,4,1,17,2,2,2.0,1,-99999.0,6.0
19,19.0,5,2,1,-99999.0,1.0,1,4.0,2,1,17,2,2,1.0,1,-99999.0,1.0
56,14.0,5,1,1,-99999.0,1.0,1,4.0,4,1,16,2,2,1.0,1,2.0,6.0
19,18.0,5,2,2,-99999.0,3.0,1,4.0,2,1,17,2,2,2.0,1,-99999.0,1.0
31,16.0,5,1,2,-99999.0,3.0,1,4.0,1,1,16,2,2,2.0,1,2.0,6.0
68,12.0,5,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,1,2.0,6.0
85,12.0,1,1,1,-99999.0,1.0,3,4.0,2,1,16,2,2,1.0,1,2.0,6.0
57,1.0,5,1,1,-99999.0,1.0,1,4.0,4,1,17,2,1,1.0,1,2.0,6.0
83,21.0,1,1,1,-99999.0,3.0,1,2.0,1,1,16,2,2,2.0,3,2.0,6.0
29,21.0,5,2,2,-99999.0,1.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,1.0
19,18.0,5,1,2,-99999.0,3.0,1,4.0,1,1,17,2,2,2.0,1,-99999.0,6.0
68,16.0,5,2,1,-99999.0,1.0,1,4.0,1,1,16,2,2,1.0,3,2.0,6.0
